Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
387417973394,Pop! Animation Dragonball Z #121 Super Saiyan God Super Saiyan Goku Hot No Box,,,1,FIXED_PRICE,USD,3,,,3,5,1,,Sep-24-24 06:51:16 PDT,May-24-25 06:51:16 PDT,Collectible Figures & Bobbleheads,149372,,,Used,,,,,,US,,,
387590378093,"Case Closed Volume / Vol. 2, 3, 5, 6, 7, 10, 13, 14 English Manga Viz 2005 Conan",,,1,FIXED_PRICE,USD,45,,,45,0,4,,Nov-07-24 13:32:24 PST,Jun-07-25 13:32:24 PDT,Comics & Graphic Novels,259104,,,Very Good,,,,,27056900131,US,,,
387650188491,Remina Hardcover English Manga Junji Ito Viz Signature Horror,,,1,FIXED_PRICE,USD,9,,,9,0,3,,Nov-25-24 19:59:17 PST,May-25-25 19:59:17 PDT,Single Volumes,259109,,,Like New,,,,,,US,9781974717477,,
387650233976,"The Seven Deadly Sins, Vol. 1 & 2 by Nakaba Suzuki (Kodansha, English Manga) Viz",,,1,FIXED_PRICE,USD,9,,,9,0,0,,Nov-25-24 20:24:46 PST,May-25-25 20:24:46 PDT,Single Volumes,259109,,,Very Good,,,,,,US,9781612629216,,
387661289718,"Death Note, Vol. 4, 5, 7 - Paperback By Ohba, Tsugumi - Viz Media Shonen Jump",,,1,FIXED_PRICE,USD,11,,,11,0,1,,Nov-28-24 12:25:56 PST,May-28-25 12:25:56 PDT,Single Volumes,259109,,,Very Good,,,,,10056916227,US,,,
387661490752,"Kiss Of The Rose Princess Vol. 1 + 4 (Yen Press, 2008) Aya Shouoto English Manga",,,1,FIXED_PRICE,USD,12,,,12,0,,,Nov-28-24 13:24:50 PST,May-28-25 13:24:50 PDT,Single Volumes,259109,,,Very Good,,,,,,US,9781421573663,,
387661520723,Our Dreams at Dusk Volumes 1-2 English Manga Books New Softcover Seven Seas,,,1,FIXED_PRICE,USD,12,,,12,0,1,,Nov-28-24 13:33:11 PST,May-28-25 13:33:11 PDT,Single Volumes,259109,,,Like New,,,,,,US,,,
387672276965,"Komi Can’t Communicate Manga Volumes 1, 4, 8, 17, 23, 24 English Tomohito Oda",,,1,FIXED_PRICE,USD,26,,,26,0,0,,Nov-30-24 10:12:25 PST,May-30-25 10:12:25 PDT,Single Volumes,259109,,,Very Good,,,,,,US,,,
387680597023,"Dragon Ball Assorted Vol 1, Z 23, 25 & Super 12, 16, 17English Manga Volumes",,,1,FIXED_PRICE,USD,25,,,25,0,0,,Dec-01-24 18:04:37 PST,Jun-01-25 18:04:37 PDT,Single Volumes,259109,,,Like New,,,,,,US,,,
387686159011,Waiting for Spring English Manga Volume 1-2 Paperback Anashin Kodansha Comics,,,1,FIXED_PRICE,USD,10,,,10,0,2,,Dec-02-24 17:29:38 PST,Jun-02-25 17:29:38 PDT,Single Volumes,259109,,,Like New,,,,,,US,,,
387690141300,"Soul Eater Manga English Lot Vol. 1, 3 Atsushi Ohkubo Yen Press Soft Cover",,,1,FIXED_PRICE,USD,10,,,10,0,1,,Dec-03-24 16:59:22 PST,Jun-03-25 16:59:22 PDT,Single Volumes,259109,,,Very Good,,,,,,US,,,
387690195758,Bogle Volume 1 & 2 Shino Taira English Manga Go! Comi Graphic Novel OOP TPB,,,1,FIXED_PRICE,USD,10,,,10,0,1,,Dec-03-24 17:11:49 PST,Jun-03-25 17:11:49 PDT,Books,261186,,,Good,,,,,,US,,,9781933617961
387693330137,Blade Of The Immortal Volumes 1-3 English Manga Dark Horse Comics Softcover,,,1,FIXED_PRICE,USD,14,,,14,0,1,,Dec-04-24 13:09:09 PST,Jun-04-25 13:09:09 PDT,Single Volumes,259109,,,Good,,,,,,US,,,
387693346138,"Tsubaki Chou Lonely Planet Vol 1-2 English Manga by Mika Yamamori, Yen Press",,,1,FIXED_PRICE,USD,11,,,11,0,1,,Dec-04-24 13:14:43 PST,Jun-04-25 13:14:43 PDT,Books,261186,,,Like New,,,,,,US,,,
387694499707,High School DXD English Manga Vol 1&2 Hiroji Mishima Yen Press Softcover,,,1,FIXED_PRICE,USD,13,,,13,0,,,Dec-04-24 21:16:45 PST,Jun-04-25 21:16:45 PDT,Single Volumes,259109,,,Like New,,,,,,US,,,
387697561304,"Moriarty the Patriot, Vol. 1,  4, 5 English Manga Soft Cover",,,1,FIXED_PRICE,USD,12,,,12,0,,,Dec-05-24 14:42:11 PST,Jun-05-25 14:42:11 PDT,Comics & Graphic Novels,259104,,,Very Good,,,,,5056903271,US,,,
387707970419,"Jujutsu Kaisen English Manga Vol. 0-1, 13-15 Gege Akutami Shonen Jump Viz Media",,,1,FIXED_PRICE,USD,25,,,25,0,1,,Dec-08-24 13:45:57 PST,Jun-08-25 13:45:57 PDT,Single Volumes,259109,,,Like New,,,,,,US,,,
387716228884,"Gantz Volume 1, 6, 8, 11, 12, 17, 22, 34 - Manga English Lot Of 8 OOP Hiroya Oku",,,1,FIXED_PRICE,USD,90,,,90,0,6,,Dec-10-24 23:35:31 PST,Jun-10-25 23:35:31 PDT,Single Volumes,259109,,,Like New,,,,,,US,,,
387726625865,Gyo 1 + Uzumaki: Spiral Into Horror 3 Junji Ito English Manga Viz Paperback,,,1,FIXED_PRICE,USD,30,,,30,0,2,,Dec-13-24 18:53:28 PST,Jun-13-25 18:53:28 PDT,Single Volumes,259109,,,Very Good,,,,,,US,,,
387732181499,"Planet Ladder Vol. 1, 2, 3, 4, 5 Yuri Narushima Tokyopop English Manga Books Lot",,,1,FIXED_PRICE,USD,20,,,20,0,9,,Dec-15-24 12:05:43 PST,Jun-15-25 12:05:43 PDT,Single Volumes,259109,,,Very Good,,,,,,US,,,
387736657375,MY HERO ACADEMIA Vol 1 - Vol 16 Set English Version Kohei Horikoshi Manga Comic,,,1,FIXED_PRICE,USD,45,,,45,0,2,,Dec-16-24 22:21:44 PST,Jun-16-25 22:21:44 PDT,Books,261186,,,Like New,,,,,,US,,,
387758088851,Demon Slayer Kimetsu No Yaiba Banpresto Figures Lot 4 New Anime Manga Vol.1,,,1,FIXED_PRICE,USD,30,,,30,0,0,,Dec-23-24 17:44:41 PST,May-23-25 17:44:41 PDT,Other Animation Merchandise,69528,,,New,,,,,,US,,,
387971579911,"Lot of 14 Hunter X Hunter Vol #1-4, 6-10, 15, 16, 25-27 English Manga",,,1,FIXED_PRICE,USD,100,,,100,0,5,,Feb-19-25 23:59:09 PST,Jun-19-25 23:59:09 PDT,Single Volumes,259109,,,Brand New,,,,,,US,,,
388102519799,Initial D Tokyopop English Manga Volumes 2-7 Shuichi Shigeno OOP softcover,,,1,FIXED_PRICE,USD,50,,,50,0,3,,Mar-17-25 09:43:57 PDT,Jun-17-25 09:43:57 PDT,Single Volumes,259109,,,Good,,,,,,US,,,
388129824015,From the Red Fog Vol 1-5 Complete English Manga Set - New Mosae Nohara Shonen,,,1,FIXED_PRICE,USD,35,,,35,0,2,,Mar-22-25 10:25:02 PDT,May-22-25 10:25:02 PDT,Single Volumes,259109,,,Brand New,,,,,,US,,,
388130085078,Rooster Fighter Manga in English by Shu Sakuratani Vol 1-6 Graphic Novel New,,,1,FIXED_PRICE,USD,50,,,50,0,1,,Mar-22-25 11:53:01 PDT,May-22-25 11:53:01 PDT,Single Volumes,259109,,,Brand New,,,,,,US,Does not apply,,
388172445275,Toilet-Bound Hanako-Kun English Manga Lot Volumes 1-13 Aidairo,,,1,FIXED_PRICE,USD,70,,,70,0,3,,Mar-30-25 10:56:58 PDT,May-30-25 10:56:58 PDT,Single Volumes,259109,,,Like New,,,,,,US,doesnotapply,,
388194947027,"BEASTARS Vol. 1-2, 6-18 Manga Lot Set English (15 Volumes)  Viz Media Soft Cover",,,1,FIXED_PRICE,USD,125,,,125,0,10,,Apr-03-25 13:04:45 PDT,Jun-03-25 13:04:45 PDT,Single Volumes,259109,,,Like New,,,,,,US,,,
388319590674,Twin Star Exorcists Manga Volumes 1-24 In English Graphic Novel Viz,,,1,FIXED_PRICE,USD,180,,,180,0,2,,Apr-24-25 22:49:39 PDT,May-24-25 22:49:39 PDT,Single Volumes,259109,,,Like New,,,,,,US,,,
